[2025-02-03 14:43:07.888250] [0x0000007f9f196010] [MocapTag] [0x00005057] [2] , Controller time [s], Mocap Position x [m], Mocap Position y [m], Mocap Position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-02-03 14:43:08.159098] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [89] , 1.15665, -0.00959229, -0.190941, -0.143357, -0.999864, -0.00359624, 0.0138266, 0.00828107, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.161688] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [90] , 1.15665, -0.00958283, -0.190945, -0.143345, -0.999865, -0.00355898, 0.0137407, 0.00827625, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.164745] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [91] , 1.15665, -0.00958283, -0.190945, -0.143345, -0.999865, -0.00355898, 0.0137407, 0.00827625, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.168688] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [92] , 1.16666, -0.00958283, -0.190945, -0.143345, -0.999865, -0.00355898, 0.0137407, 0.00827625, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.171596] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [93] , 1.16666, -0.00958283, -0.190945, -0.143345, -0.999865, -0.00355898, 0.0137407, 0.00827625, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.174266] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [94] , 1.16666, -0.00958362, -0.190939, -0.143338, -0.999866, -0.00353078, 0.0136697, 0.0082406, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.177375] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [95] , 1.17666, -0.00958362, -0.190939, -0.143338, -0.999866, -0.00353078, 0.0136697, 0.0082406, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.180080] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [96] , 1.17666, -0.00958362, -0.190939, -0.143338, -0.999866, -0.00353078, 0.0136697, 0.0082406, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.184157] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [97] , 1.17666, -0.00957309, -0.190936, -0.14334, -0.999866, -0.00353889, 0.0137102, 0.00823425, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.187247] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [98] , 1.18666, -0.00957309, -0.190936, -0.14334, -0.999866, -0.00353889, 0.0137102, 0.00823425, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.190548] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [99] , 1.18666, -0.00957309, -0.190936, -0.14334, -0.999866, -0.00353889, 0.0137102, 0.00823425, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.192724] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [100] , 1.18666, -0.00957355, -0.190916, -0.143348, -0.999866, -0.00353187, 0.0137365, 0.00823057, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.195700] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [101] , 1.18666, -0.00957355, -0.190916, -0.143348, -0.999866, -0.00353187, 0.0137365, 0.00823057, 0, 0.00201877, 0, 0, 0, 0, 
[2025-02-03 14:43:08.199833] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [102] , 1.19666, -0.00957355, -0.190916, -0.143348, -0.999866, -0.00353187, 0.0137365, 0.00823057, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.202913] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [103] , 1.19666, -0.00956954, -0.190905, -0.143362, -0.999864, -0.0035449, 0.0138625, 0.00823544, 0, 0, 0, 0, 0, 0, 
