[2024-10-16 17:54:17.983659] [0x0000007f8e48c010] [LogDataTag] [0x000063df] [1] , Controller Time [s], Algorithm Execution Time [us], Position x [m], Position y [m], Position z [m], Velocity x [m/s], Velocity y [m/s], Velocity z [m/s], Phi [rad], Theta [rad], Psi [rad], omega_x [rad/s], omega_y [rad/s], omega_z [rad/s], User Position x [m], User Position y [m], User Position z [m], User Velocity x [m], User Velocity y [m], User Velocity z [m], Desired Phi [rad], Desired Theta [rad], Desired Psi [rad], Deisred Phi rate [rad/s], Deisred Theta rate [rad/s], Deisred Psi rate [rad/s], Desired Omega_x [rad/s], Desired Omega_y [rad/s], Desired Omega_z [rad/s], Desired Alpha_x [rad/s^2], Desired Alpha_y [rad/s^2], Desired Alpha_z [rad/s^2], Error in x [m], Error in y [m], Error in z [m], Integral Error in x [m], Integral Error in y [m], Integral Error in z [m], Error in vx [m/s], Error in vy [m/s], Error in vz [m/s], Error in Phi [rad], Error in Theta [rad], Error in Psi [rad], Integral Error in Phi [rad], Integral Error in Theta [rad], Integral Error in Psi [rad], Error in omega_x [rad/s], Error in omega_y [rad/s], Error in omega_z [rad/s], Virtual Mu x I [N], Virtual Mu y I [N], Virtual Mu z I [N], Virtual Mu x J [N], Virtual Mu y J [N], Virtual Mu z J [N], u1 [N], u2 [Nm], u3 [Nm], u4 [Nm], Thrust Motor 1 [N], Thrust Motor 2 [N], Thrust Motor 3 [N], Thrust Motor 4 [N], Normalized Thrust Motor 1 [-], Normalized Thrust Motor 2 [-], Normalized Thrust Motor 3 [-], Normalized Thrust Motor 4 [-], 
[2024-10-16 17:54:53.467297] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [18483] , 36.4665, 491, 0.00257969, 0.0178087, -0.220925, -0.0744487, -0.0424946, 0.407611, 0.00988744, -0.060908, 0.0976617, 0.0700245, -0.293756, 0.0219288, 0, 0, -0.258318, 0, 0, 0.462386, 0.0343606, 0.00491224, 0, -0.127666, 0.449303, 0, -0.127666, 0.449281, -0.00444239, 0.340731, -2.28583, -0.0126769, 0.00257969, 0.0178087, 0.0373936, -0.0443973, -0.373536, 1.47046, -0.0744487, -0.0424946, -0.054775, -0.0244732, -0.0658203, 0.0976617, -1.62654, 0.334018, 1.72489, 0.19769, -0.743038, 0.0263712, 1.51002, 1.45541, -29.3427, -0.14442, 1.01061, -29.3999, 29.4176, 0.0035147, 0.0513158, -0.149232, 7.11119, 6.86393, 7.86075, 7.58174, 0.482351, 0.470938, 0.516339, 0.503768, 
[2024-10-16 17:54:53.477303] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [18489] , 36.4765, 483, 0.00129599, 0.0179108, -0.211171, -0.0591601, -0.0294477, 0.408456, 0.0108952, -0.0637658, 0.0976397, 0.0391589, -0.146581, 0.0147409, 0, 0, -0.253709, 0, 0, 0.458934, 0.0248824, 0.0177785, 0, -0.127322, 0.268639, 0, -0.127322, 0.268623, -0.00292682, 0.473747, -1.26446, -0.0129847, 0.00129599, 0.0179108, 0.0425378, -0.0443715, -0.373358, 1.47083, -0.0591601, -0.0294477, -0.0504783, -0.0139871, -0.0815443, 0.0976397, -1.62679, 0.33336, 1.72587, 0.166481, -0.415204, 0.0176677, 1.26179, 1.19742, -29.8282, -0.53101, 0.74338, -29.8649, 29.8789, 0.0074007, 0.0437122, -0.145013, 7.2086, 7.01789, 7.95497, 7.6974, 0.486814, 0.47806, 0.520572, 0.508987, 
[2024-10-16 17:54:53.487281] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [18495] , 36.4865, 487, 0.00129599, 0.0179108, -0.211171, -0.0591601, -0.0294477, 0.408456, 0.0108952, -0.0637658, 0.0976397, 0.0391589, -0.146581, 0.0147409, 0, 0, -0.249139, 0, 0, 0.455431, 0.0251312, 0.0174337, 0, -0.25845, 0.352025, 0, -0.25845, 0.352004, -0.00383531, 0.456363, -0.859793, -0.00428606, 0.00129599, 0.0179108, 0.0379685, -0.0443585, -0.373179, 1.47126, -0.0591601, -0.0294477, -0.0469751, -0.014236, -0.0811995, 0.0976397, -1.62693, 0.332544, 1.72685, 0.297609, -0.498585, 0.0185762, 1.26174, 1.19676, -29.6034, -0.516796, 0.745174, -29.6405, 29.6544, -0.0138167, 0.0610619, -0.145831, 7.24288, 6.86736, 7.89744, 7.64674, 0.48838, 0.471097, 0.517988, 0.506703, 
[2024-10-16 17:54:53.497365] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [18502] , 36.4965, 529, -4.89615e-05, 0.017847, -0.201928, -0.05668, -0.0263649, 0.39097, 0.0111678, -0.0650215, 0.0978047, -0.0230734, -0.0100999, -0.0102293, 0, 0, -0.244605, 0, 0, 0.451873, 0.0229204, 0.0187644, 0, -0.270813, 0.326873, 0, -0.270813, 0.326853, -0.00365039, -0.162499, -0.0286626, -9.73754e-05, -4.89615e-05, 0.017847, 0.0426765, -0.0443455, -0.372999, 1.47164, -0.05668, -0.0263649, -0.0609028, -0.0117525, -0.083786, 0.0978047, -1.62707, 0.331732, 1.72782, 0.24774, -0.336953, -0.00657888, 1.26433, 1.13896, -29.5892, -0.555962, 0.679256, -29.6251, 29.6381, -0.0264532, 0.062468, -0.134046, 7.29991, 6.8601, 7.83944, 7.63862, 0.490982, 0.47076, 0.515381, 0.506336, 
[2024-10-16 17:54:53.507264] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [18508] , 36.5065, 489, -0.000667393, 0.0178928, -0.197484, -0.0440699, -0.0208239, 0.387368, 0.0111699, -0.0653087, 0.0976999, 0.0194036, -0.00228089, 0.00310921, 0, 0, -0.240105, 0, 0, 0.448261, 0.0199633, 0.026853, 0, -0.268296, 0.284798, 0, -0.268296, 0.284781, -0.00318109, -0.63238, 0.507534, 0.00376195, -0.000667393, 0.0178928, 0.0426208, -0.044346, -0.372821, 1.47207, -0.0440699, -0.0208239, -0.0608937, -0.00879342, -0.0921618, 0.0976999, -1.62719, 0.330894, 1.7288, 0.2877, -0.287062, 0.0062903, 1.04306, 1.02891, -29.5954, -0.795447, 0.591506, -29.6151, 29.6317, -0.0494031, 0.0715113, -0.140831, 7.35666, 6.7668, 7.82588, 7.68235, 0.493565, 0.466417, 0.514771, 0.508309, 
[2024-10-16 17:54:53.517283] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [18514] , 36.5165, 491, -0.00120509, 0.0179078, -0.193099, -0.0528901, -0.0294605, 0.382311, 0.0112079, -0.0650102, 0.0976883, -0.00638326, 0.0301025, 0.00569492, 0, 0, -0.235637, 0, 0, 0.444593, 0.0249022, 0.0195351, 0, -0.271575, 0.350136, 0, -0.271575, 0.350114, -0.00392419, -0.817258, 0.625028, 0.00747583, -0.00120509, 0.0179078, 0.042538, -0.0443527, -0.372642, 1.47249, -0.0528901, -0.0294605, -0.0622821, -0.0136944, -0.0845453, 0.0976883, -1.62728, 0.329973, 1.72978, 0.265192, -0.320011, 0.00961912, 1.23447, 1.19516, -29.5639, -0.578293, 0.737375, -29.599, 29.6138, -0.049171, 0.0748455, -0.142313, 7.35658, 6.75067, 7.83413, 7.67246, 0.493562, 0.465664, 0.515142, 0.507863, 
[2024-10-16 17:54:53.527279] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [18521] , 36.5265, 515, -0.00235893, 0.0179901, -0.184773, -0.0168762, -0.00606936, 0.389221, 0.011046, -0.0642232, 0.0977554, 0.0158062, 0.123863, 0.020831, 0, 0, -0.231221, 0, 0, 0.440887, 0.0114365, 0.0426869, 0, -0.150542, 0.205776, 0, -0.150542, 0.205763, -0.00227295, -0.763898, 0.80189, 0.00560564, -0.00235893, 0.0179901, 0.0464484, -0.0443648, -0.372463, 1.47292, -0.0168762, -0.00606936, -0.051666, -0.00039056, -0.10691, 0.0977554, -1.62741, 0.329127, 1.73076, 0.166348, -0.0818999, 0.0231039, 0.579445, 0.73733, -30.1251, -1.2861, 0.344687, -30.1103, 30.1397, -0.0389055, 0.0611459, -0.148763, 7.41388, 6.9246, 7.96952, 7.83172, 0.496165, 0.473751, 0.521225, 0.515034, 
[2024-10-16 17:54:53.537281] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [18526] , 36.5365, 486, -0.00235893, 0.0179901, -0.184773, -0.0168762, -0.00606936, 0.389221, 0.011046, -0.0642232, 0.0977554, 0.0158062, 0.123863, 0.020831, 0, 0, -0.22682, 0, 0, 0.437112, 0.0115681, 0.0425387, 0, -0.288652, 0.479762, 0, -0.288652, 0.479733, -0.00529933, -0.0790293, 0.192749, 0.00899377, -0.00235893, 0.0179901, 0.0420474, -0.0443883, -0.372283, 1.47338, -0.0168762, -0.00606936, -0.0478908, -0.000522115, -0.106762, 0.0977554, -1.62742, 0.328058, 1.73173, 0.304458, -0.35587, 0.0261303, 0.579531, 0.736669, -29.9201, -1.27291, 0.34628, -29.9057, 29.9347, -0.0390602, 0.0772672, -0.150136, 7.40095, 6.8283, 7.96263, 7.74287, 0.495578, 0.469282, 0.520916, 0.511036, 
[2024-10-16 17:54:53.547342] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [18532] , 36.5465, 517, -0.00283422, 0.0180474, -0.180654, -0.0582979, -0.0212842, 0.365366, 0.011182, -0.063115, 0.0978192, 0.0231907, 0.136113, -0.000599192, 0, 0, -0.222472, 0, 0, 0.433301, 0.0189428, 0.0123077, 0, -0.301131, 0.521182, 0, -0.301131, 0.521149, -0.00582775, -0.0635334, 0.715092, -0.00206252, -0.00283422, 0.0180474, 0.0418175, -0.0444119, -0.372103, 1.4738, -0.0582979, -0.0212842, -0.0679342, -0.0077608, -0.0754227, 0.0978192, -1.62742, 0.32699, 1.73271, 0.324322, -0.385037, 0.00522856, 1.40106, 1.02876, -29.3984, -0.362386, 0.557828, -29.4422, 29.4498, -0.0377096, 0.0804856, -0.14038, 7.30888, 6.72583, 7.8287, 7.58634, 0.49139, 0.464503, 0.514898, 0.503975, 
[2024-10-16 17:54:53.557267] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [18539] , 36.5565, 490, -0.0038196, 0.018228, -0.172854, -0.00879569, 0.00101253, 0.361476, 0.011226, -0.0617693, 0.0978732, 0.0290401, 0.229949, -0.00853169, 0, 0, -0.218158, 0, 0, 0.429439, 0.00693894, 0.0437832, 0, -0.140445, -0.027677, 0, -0.140445, -0.0276753, 0.000310695, -0.0828251, 1.08339, -0.0118207, -0.0038196, 0.018228, 0.0453042, -0.0444403, -0.371923, 1.47422, -0.00879569, 0.00101253, -0.0679629, 0.00428702, -0.105553, 0.0978732, -1.6275, 0.326236, 1.73369, 0.169485, 0.257624, -0.00884238, 0.478092, 0.588055, -29.6559, -1.29841, 0.205846, -29.6364, 29.6656, -0.0199101, 0.0305903, -0.133397, 7.21187, 6.96508, 7.77777, 7.71085, 0.486964, 0.475623, 0.512607, 0.509593, 
[2024-10-16 17:54:53.567348] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [18545] , 36.5665, 562, -0.0038196, 0.018228, -0.172854, -0.00879569, 0.00101253, 0.361476, 0.011226, -0.0617693, 0.0978732, 0.0290401, 0.229949, -0.00853169, 0, 0, -0.213876, 0, 0, 0.425524, 0.00703452, 0.0436631, 0, -0.239335, 0.238861, 0, -0.239335, 0.238846, -0.00268139, 0.525985, -0.969328, 0.00683504, -0.0038196, 0.018228, 0.0410219, -0.0444785, -0.37174, 1.47467, -0.00879569, 0.00101253, -0.0640476, 0.00419143, -0.105432, 0.0978732, -1.62746, 0.325181, 1.73467, 0.268375, -0.0088972, -0.0058503, 0.478233, 0.587385, -29.4631, -1.28643, 0.207326, -29.444, 29.4728, -0.0162498, 0.0152504, -0.134054, 7.11447, 6.96287, 7.70014, 7.69534, 0.482502, 0.475521, 0.509111, 0.508894, 
[2024-10-16 17:54:53.577373] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [18551] , 36.5765, 512, -0.00430284, 0.0183059, -0.169049, -0.0568813, -0.0166357, 0.3336, 0.0112412, -0.0603658, 0.0977759, 0.00956204, 0.156522, -0.00499808, 0, 0, -0.209636, 0, 0, 0.421565, 0.0158374, 0.00792929, 0, -0.243023, 0.315998, 0, -0.243023, 0.315978, -0.00355211, 0.480262, -1.26708, 0.00789775, -0.00430284, 0.0183059, 0.0405867, -0.0445167, -0.371558, 1.47508, -0.0568813, -0.0166357, -0.0879654, -0.00459624, -0.0682951, 0.0977759, -1.62742, 0.324126, 1.73565, 0.252585, -0.159456, -0.00144597, 1.42939, 0.925819, -28.8274, -0.228948, 0.457328, -28.8731, 28.8777, -0.0106393, 0.0119033, -0.135839, 6.94004, 6.83094, 7.55982, 7.54685, 0.474466, 0.469405, 0.502777, 0.50219, 
[2024-10-16 17:54:53.587345] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [18557] , 36.5865, 501, -0.00487307, 0.0183764, -0.165454, -0.017491, 0.00368684, 0.338727, 0.0111248, -0.0598127, 0.0977632, -0.00210116, 0.0908426, 0.0011534, 0, 0, -0.205442, 0, 0, 0.41757, 0.0046662, 0.0344884, 0, -0.0649161, -0.272362, 0, -0.0649161, -0.272346, 0.00302993, 0.312073, -0.884378, 0.00345516, -0.00487307, 0.0183764, 0.039988, -0.0445597, -0.371375, 1.47549, -0.017491, 0.00368684, -0.0788429, 0.00645864, -0.0943011, 0.0977632, -1.62746, 0.323443, 1.73662, 0.0628149, 0.363188, -0.00187653, 0.686957, 0.527983, -29.0302, -1.00144, 0.135521, -29.0255, 29.0431, 0.00835777, -0.0263809, -0.135164, 6.84201, 7.01503, 7.54428, 7.6418, 0.46992, 0.477928, 0.502074, 0.50648, 
[2024-10-16 17:54:53.597437] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [18563] , 36.5965, 558, -0.00512176, 0.0185808, -0.161805, -0.00766262, 0.00552048, 0.351423, 0.0111229, -0.0582105, 0.0975772, 0.0108473, 0.211252, -0.0276543, 0, 0, -0.201287, 0, 0, 0.413529, 0.00354624, 0.0395055, 0, -0.154902, -0.0627171, 0, -0.154902, -0.0627132, 0.000697582, 0.775813, -2.58247, 0.023942, -0.00512176, 0.0185808, 0.039482, -0.0446084, -0.371191, 1.47589, -0.00766262, 0.00552048, -0.0621062, 0.00757667, -0.0977161, 0.0975772, -1.6274, 0.3225, 1.7376, 0.165749, 0.273965, -0.0283519, 0.505867, 0.483227, -29.4356, -1.16289, 0.104415, -29.4207, 29.4439, 0.0064514, -0.0517816, -0.121326, 6.91539, 7.21006, 7.54102, 7.7774, 0.473325, 0.486881, 0.501927, 0.51259, 
[2024-10-16 17:54:53.607340] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [18570] , 36.6065, 499, -0.00561256, 0.0186773, -0.158273, -0.0460283, -0.00940418, 0.325039, 0.0110978, -0.0566871, 0.0975789, 0.00160457, 0.152499, 0.00741353, 0, 0, -0.19717, 0, 0, 0.409445, 0.0111002, 0.010324, 0, -0.187631, 0.119836, 0, -0.187631, 0.119828, -0.00132989, 0.592219, -2.4243, 0.0245754, -0.00561256, 0.0186773, 0.0388965, -0.0446596, -0.371006, 1.47628, -0.0460283, -0.00940418, -0.0844067, -2.41343e-06, -0.0670111, 0.0975789, -1.62732, 0.321523, 1.73858, 0.189235, 0.0326711, 0.00874342, 1.26881, 0.768034, -28.8309, -0.298021, 0.320447, -28.8658, 28.8691, 0.000482502, -0.0335417, -0.139646, 6.7869, 6.96108, 7.47564, 7.64545, 0.467355, 0.475438, 0.498967, 0.506645, 
[2024-10-16 17:54:53.617452] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [18575] , 36.6165, 574, -0.00634582, 0.0190402, -0.151514, -0.0127665, 0.010185, 0.32852, 0.0105864, -0.0535133, 0.0974283, -0.0460736, 0.231282, -0.0343902, 0, 0, -0.193094, 0, 0, 0.405321, -7.77857e-05, 0.030094, 0, -0.0511462, -0.285919, 0, -0.0511462, -0.285903, 0.00302679, 0.183736, -1.01507, 0.0113036, -0.00634582, 0.0190402, 0.0415798, -0.0447158, -0.370819, 1.47667, -0.0127665, 0.010185, -0.0768011, 0.0106642, -0.0836073, 0.0974283, -1.62732, 0.320853, 1.73955, 0.00507259, 0.517185, -0.0374169, 0.651459, 0.372237, -29.2281, -0.879748, -0.00227428, -29.2245, 29.2377, 0.0115978, -0.0492669, -0.116923, 6.8695, 7.17452, 7.49674, 7.69697, 0.471197, 0.485255, 0.499922, 0.508968, 
[2024-10-16 17:54:53.627317] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [18582] , 36.6265, 490, -0.00688454, 0.0195086, -0.144912, -0.013473, 0.015086, 0.316934, 0.00970695, -0.0500975, 0.0971842, -0.0637017, 0.173947, -0.0358543, 0, 0, -0.189072, 0, 0, 0.401171, -0.00323307, 0.0259009, 0, -0.161758, -0.102384, 0, -0.161758, -0.10238, 0.000993824, 0.343256, -1.22587, 0.0148613, -0.00688454, 0.0195086, 0.0441606, -0.0447792, -0.370628, 1.47709, -0.013473, 0.015086, -0.084237, 0.01294, -0.0759984, 0.0971842, -1.62721, 0.320017, 1.74053, 0.0980566, 0.276326, -0.0368481, 0.685724, 0.256951, -29.2312, -0.757265, -0.0945359, -29.2304, 29.2404, 0.000747233, -0.0308194, -0.117157, 6.94139, 7.1028, 7.52076, 7.67542, 0.474528, 0.481966, 0.50101, 0.507996, 
[2024-10-16 17:54:53.637356] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [18588] , 36.6365, 515, -0.00688454, 0.0195086, -0.144912, -0.013473, 0.015086, 0.316934, 0.00970695, -0.0500975, 0.0971842, -0.0637017, 0.173947, -0.0358543, 0, 0, -0.185079, 0, 0, 0.39697, -0.00322192, 0.0257579, 0, -0.235031, -0.0723365, 0, -0.235031, -0.0723331, 0.000702156, -0.0377135, -0.38929, 0.00619071, -0.00688454, 0.0195086, 0.0401676, -0.0448481, -0.370433, 1.47753, -0.013473, 0.015086, -0.0800358, 0.0129289, -0.0758554, 0.0971842, -1.62709, 0.319257, 1.7415, 0.171329, 0.24628, -0.0365564, 0.685978, 0.256234, -29.0668, -0.748852, -0.0936807, -29.0663, 29.0761, -0.0229639, -0.00988701, -0.118408, 7.00446, 6.95143, 7.48287, 7.6373, 0.477441, 0.474992, 0.499294, 0.506277, 
[2024-10-16 17:54:53.647277] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [18595] , 36.6465, 488, -0.00673418, 0.0199949, -0.141535, -0.013187, 0.0107467, 0.309027, 0.00901082, -0.0480565, 0.0965998, -0.0694484, 0.232212, -0.0696365, 0, 0, -0.181131, 0, 0, 0.392735, -0.000275082, 0.0237824, 0, -0.229487, -0.0498303, 0, -0.229487, -0.0498282, 0.000449005, -0.588784, 0.448142, -0.0029537, -0.00673418, 0.0199949, 0.0395959, -0.0449169, -0.370238, 1.47793, -0.013187, 0.0107467, -0.0837081, 0.0092859, -0.0718389, 0.0965998, -1.62696, 0.318498, 1.74247, 0.160039, 0.282041, -0.0700855, 0.675009, 0.319438, -28.9428, -0.688495, -0.00796429, -28.9443, 28.9525, -0.0364593, 0.00269729, -0.102076, 7.07646, 6.89793, 7.41361, 7.56447, 0.480756, 0.472516, 0.496153, 0.502987, 
[2024-10-16 17:54:53.657315] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [18601] , 36.6565, 490, -0.00635577, 0.02052, -0.138211, -0.0156783, 0.0102886, 0.293781, 0.00804511, -0.046064, 0.0962357, -0.0994928, 0.241067, -0.0452745, 0, 0, -0.177225, 0, 0, 0.388465, 0.000201807, 0.0203829, 0, -0.143181, -0.0635621, 0, -0.143181, -0.0635601, 0.000511359, -0.834103, 1.04857, -0.0100229, -0.00635577, 0.02052, 0.0390142, -0.0449843, -0.370038, 1.47833, -0.0156783, 0.0102886, -0.094684, 0.0078433, -0.066447, 0.0962357, -1.62686, 0.31778, 1.74344, 0.0436881, 0.304627, -0.0457859, 0.709305, 0.305716, -28.6303, -0.583741, 0.00577988, -28.6347, 28.6407, -0.0252841, 0.0111627, -0.113395, 6.96715, 6.79569, 7.41043, 7.46741, 0.475719, 0.467764, 0.496009, 0.498593, 
[2024-10-16 17:54:53.667351] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [18608] , 36.6665, 525, -0.00579872, 0.0212094, -0.134888, -0.0208807, 0.0170376, 0.293398, 0.0071068, -0.044144, 0.0957206, -0.0972438, 0.225431, -0.0759699, 0, 0, -0.173356, 0, 0, 0.384154, -0.00469554, 0.0162904, 0, -0.0746669, -0.113826, 0, -0.0746669, -0.113823, 0.000808932, -0.485917, 1.18526, -0.0125852, -0.00579872, 0.0212094, 0.0384673, -0.0450478, -0.369833, 1.47872, -0.0208807, 0.0170376, -0.0907559, 0.0118023, -0.0604343, 0.0957206, -1.62678, 0.317116, 1.7444, -0.022577, 0.339254, -0.0767789, 0.789435, 0.145327, -28.7037, -0.46775, -0.134831, -28.7108, 28.7149, -0.00548434, 0.00826567, -0.0971369, 6.97352, 6.90636, 7.42631, 7.4087, 0.476013, 0.472906, 0.496729, 0.49593, 
[2024-10-16 17:54:53.677287] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [18614] , 36.6765, 493, -0.00453011, 0.0225454, -0.12855, -0.00182397, 0.0233503, 0.285934, 0.00483098, -0.0410532, 0.094807, -0.165016, 0.141834, -0.051362, 0, 0, -0.169541, 0, 0, 0.379823, -0.0072109, 0.0283084, 0, -0.110932, -0.183211, 0, -0.110932, -0.183209, 0.000885086, 0.153629, 0.802972, -0.0102448, -0.00453011, 0.0225454, 0.0409904, -0.0451058, -0.369621, 1.4791, -0.00182397, 0.0233503, -0.0938894, 0.0120419, -0.0693617, 0.094807, -1.62667, 0.316511, 1.74536, -0.0540843, 0.325043, -0.0522471, 0.37211, -0.0335603, -28.8135, -0.815604, -0.207787, -28.8037, 28.8159, 0.0195256, 0.00475163, -0.107222, 6.90849, 6.97233, 7.52384, 7.41128, 0.473005, 0.475958, 0.50115, 0.496047, 
[2024-10-16 17:54:53.687311] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [18620] , 36.6865, 492, -0.00453011, 0.0225454, -0.12855, -0.00182397, 0.0233503, 0.285934, 0.00483098, -0.0410532, 0.094807, -0.165016, 0.141834, -0.051362, 0, 0, -0.165767, 0, 0, 0.375459, -0.00725223, 0.0282412, 0, -0.149385, 0.00786209, 0, -0.149385, 0.007862, -3.79814e-05, 0.458889, 0.055317, -0.00564268, -0.00453011, 0.0225454, 0.0372171, -0.0451511, -0.369395, 1.47951, -0.00182397, 0.0233503, -0.0895256, 0.0120832, -0.0692944, 0.094807, -1.62655, 0.315818, 1.74631, -0.0156312, 0.133972, -0.051324, 0.372276, -0.0343889, -28.6691, -0.809589, -0.207931, -28.6593, 28.6715, 0.0230757, 0.00914558, -0.1074, 6.8752, 6.93254, 7.50746, 7.35633, 0.471461, 0.474119, 0.500408, 0.49355, 
[2024-10-16 17:54:53.697371] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [18626] , 36.6965, 520, -0.00214025, 0.0246439, -0.119571, 0.00221141, 0.0292056, 0.278243, 0.000594294, -0.0370456, 0.0928654, -0.175774, 0.114207, -0.0791329, 0, 0, -0.16203, 0, 0, 0.371056, -0.0093657, 0.0307907, 0, -0.143064, 0.0896005, 0, -0.143064, 0.0896005, -5.3249e-05, 0.428912, 0.197263, -0.00424193, -0.00214025, 0.0246439, 0.0424586, -0.0451964, -0.36917, 1.47988, 0.00221141, 0.0292056, -0.0928139, 0.00995999, -0.0678363, 0.0928654, -1.62643, 0.315125, 1.74725, -0.0327106, 0.0246066, -0.0790796, 0.203982, -0.236214, -28.9682, -0.891825, -0.271319, -28.9549, 28.9699, 0.0263425, 0.0232428, -0.0915215, 7.01759, 7.0174, 7.58654, 7.34836, 0.478046, 0.478038, 0.503985, 0.493188, 
[2024-10-16 17:54:53.707341] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [18632] , 36.7065, 505, -0.00214025, 0.0246439, -0.119571, 0.00221141, 0.0292056, 0.278243, 0.000594294, -0.0370456, 0.0928654, -0.175774, 0.114207, -0.0791329, 0, 0, -0.158345, 0, 0, 0.366635, -0.00943875, 0.0307613, 0, -0.151208, 0.152022, 0, -0.151208, 0.152022, -9.03459e-05, 0.322905, 0.560925, -0.00218814, -0.00214025, 0.0246439, 0.0387732, -0.0452178, -0.368924, 1.48031, 0.00221141, 0.0292056, -0.088392, 0.010033, -0.0678069, 0.0928654, -1.62633, 0.314446, 1.74818, -0.0245665, -0.0378152, -0.0790425, 0.204061, -0.23712, -28.8317, -0.886775, -0.272147, -28.8185, 28.8334, 0.021647, 0.0375994, -0.0916287, 7.03062, 6.93561, 7.57889, 7.28831, 0.478647, 0.47426, 0.503639, 0.490453, 
[2024-10-16 17:54:53.717430] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [18639] , 36.7165, 549, -0.0011925, 0.0253758, -0.11657, 0.0176216, 0.0237813, 0.274536, -0.00119006, -0.0359387, 0.0919642, -0.197722, 0.176618, -0.101004, 0, 0, -0.154686, 0, 0, 0.362164, -0.00403755, 0.0409703, 0, -0.131767, 0.154694, 0, -0.131767, 0.154694, 0.000184094, 0.132133, 0.927523, -0.000239872, -0.0011925, 0.0253758, 0.0381162, -0.0452392, -0.368677, 1.4807, 0.0176216, 0.0237813, -0.0876275, 0.00284749, -0.076909, 0.0919642, -1.62623, 0.313768, 1.74911, -0.0659551, 0.0219241, -0.101188, -0.130556, -0.163294, -28.8162, -1.1803, -0.11635, -28.7926, 28.817, 0.0260811, 0.0421967, -0.0794075, 7.05832, 6.95976, 7.56654, 7.23235, 0.479922, 0.475377, 0.503081, 0.487899, 
[2024-10-16 17:54:53.727279] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [18646] , 36.7265, 523, 0.00100385, 0.0266377, -0.111347, 0.0146781, 0.0282667, 0.258938, -0.00471682, -0.0337933, 0.0903143, -0.194723, 0.040577, -0.103072, 0, 0, -0.151103, 0, 0, 0.357706, -0.0053524, 0.0401794, 0, -0.0157109, 0.294462, 0, -0.0157109, 0.294458, 0.00138892, 0.0289246, 0.980608, 0.00231045, 0.00100385, 0.0266377, 0.0397552, -0.0452511, -0.368423, 1.48108, 0.0146781, 0.0282667, -0.0987673, 0.000635579, -0.0739727, 0.0903143, -1.6262, 0.312999, 1.75003, -0.179013, -0.253881, -0.104461, -0.156292, -0.3038, -28.6575, -1.1512, -0.153397, -28.636, 28.6596, 0.0422256, 0.0716038, -0.0756462, 7.06715, 6.89072, 7.6298, 7.07189, 0.480328, 0.472181, 0.505938, 0.480546, 
[2024-10-16 17:54:53.737396] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [18651] , 36.7365, 556, 0.00100385, 0.0266377, -0.111347, 0.0146781, 0.0282667, 0.258938, -0.00471682, -0.0337933, 0.0903143, -0.194723, 0.040577, -0.103072, 0, 0, -0.147549, 0, 0, 0.353204, -0.00543058, 0.0402118, 0, 0.0168298, 0.296192, 0, 0.0168298, 0.296189, 0.00139708, 0.379497, 1.29939, 0.00816366, 0.00100385, 0.0266377, 0.0362014, -0.0452411, -0.368157, 1.48148, 0.0146781, 0.0282667, -0.0942658, 0.00071376, -0.0740051, 0.0903143, -1.62619, 0.312259, 1.75093, -0.211553, -0.255611, -0.104469, -0.156329, -0.304779, -28.5324, -1.1471, -0.154958, -28.511, 28.5345, 0.0584615, 0.0785742, -0.0749107, 7.01889, 6.88006, 7.65126, 6.98427, 0.478106, 0.471687, 0.506907, 0.476509, 
